"","Major","Major_category","Unemployment_rate","Median","Women","Men"
"92","SOCIAL PSYCHOLOGY","STEM",0.029649596,36000,973,413
"93","ENVIRONMENTAL SCIENCE","STEM",0.078584681,35600,15178,10787
"94","COMMUNICATIONS","Arts",0.075176976,35000,143377,70619
"95","CRIMINAL JUSTICE AND FIRE PROTECTION","Law",0.082452199,35000,72593,80231
"96","COMMERCIAL ART AND GRAPHIC DESIGN","Arts",0.096797577,35000,71439,32041
"97","JOURNALISM","Arts",0.069176442,35000,48883,23736
"98","MULTI-DISCIPLINARY OR GENERAL SCIENCE","STEM",0.055806815,35000,35037,27015
"99","ADVERTISING AND PUBLIC RELATIONS","Arts",0.067960766,35000,40300,12862
"100","AREA ETHNIC AND CIVILIZATION STUDIES","Arts",0.063429289,35000,22456,8739
"101","SPECIAL NEEDS EDUCATION","Education",0.041507819,35000,26057,2682
"102","PHYSIOLOGY","STEM",0.0691628,35000,13638,8422
"103","CRIMINOLOGY","STEM",0.097243919,35000,9848,10031
"104","NUTRITION SCIENCES","STEM",0.068700676,35000,16346,2563
"105","HEALTH AND MEDICAL ADMINISTRATIVE SERVICES","STEM",0.089626262,35000,13843,4266
"106","COMMUNICATION TECHNOLOGIES","STEM",0.119511469,35000,6604,11431
"107","TRANSPORTATION SCIENCES AND TECHNOLOGIES","Arts",0.072724524,35000,1893,13257
"108","NATURAL RESOURCES MANAGEMENT","STEM",0.066619195,35000,5156,8617
"109","NEUROSCIENCE","STEM",0.048481675,35000,8719,4944
"110","MULTI/INTERDISCIPLINARY STUDIES","Arts",0.070860927,35000,9479,2817
"111","ATMOSPHERIC SCIENCES AND METEOROLOGY","STEM",0.022228555,35000,1299,2744
"112","FORESTRY","STEM",0.096725743,35000,451,3156
"113","SOIL SCIENCE","STEM",0,35000,209,476
"114","GENERAL EDUCATION","Education",0.057359929,34000,116825,26893
"115","HISTORY","Arts",0.095666912,34000,63698,78253
"116","FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES","Arts",0.075566386,34000,35411,12835
"117","INTERCULTURAL AND INTERNATIONAL STUDIES","Arts",0.083633531,34000,16075,8575
"118","SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION","Education",0.054082941,34000,10248,9950
"119","COMMUNITY AND PUBLIC HEALTH","STEM",0.112144387,34000,15632,4103
"120","MATHEMATICS TEACHER EDUCATION","Education",0.016202835,34000,10365,3872
"121","EDUCATIONAL ADMINISTRATION AND SUPERVISION","Education",0,34000,524,280
"122","HEALTH AND MEDICAL PREPARATORY PROGRAMS","STEM",0.069779712,33500,7219,5521
"123","MISCELLANEOUS BIOLOGY","STEM",0.058545455,33500,5959,4747
"124","BIOLOGY","STEM",0.070724732,33400,168947,111762
"125","SOCIOLOGY","STEM",0.084951001,33000,82923,32510
"126","MASS MEDIA","Arts",0.089836827,33000,28120,24704
"127","TREATMENT THERAPY PROFESSIONS","STEM",0.059821207,33000,35004,13487
"128","HOSPITALITY MANAGEMENT","Business",0.061169193,33000,28443,15204
"129","LANGUAGE AND DRAMA EDUCATION","Education",0.050306435,33000,26730,3741
"130","LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE","Arts",0.10443571,33000,12185,4416
"131","MISCELLANEOUS EDUCATION","Education",0.059211951,33000,6496,3654
"132","INTERDISCIPLINARY SOCIAL SCIENCES","STEM",0.092305816,33000,7579,2337
"133","ECOLOGY","STEM",0.054475193,33000,5276,3878
"134","SECONDARY TEACHER EDUCATION","Education",0.05222898,32500,10305,6820
"135","GENERAL MEDICAL AND HEALTH SERVICES","STEM",0.082101621,32400,26025,7574
"136","PHILOSOPHY AND RELIGIOUS STUDIES","Arts",0.096051684,32200,22847,31967
"137","ART AND MUSIC EDUCATION","Education",0.038637747,32100,23449,10732
"138","ENGLISH LANGUAGE AND LITERATURE","Arts",0.08772359,32000,136446,58227
"139","ELEMENTARY EDUCATION","Education",0.046585715,32000,157833,13029
"140","PHYSICAL FITNESS PARKS RECREATION AND LEISURE","Arts",0.051467273,32000,62893,62181
"141","LIBERAL ARTS","Arts",0.078267592,32000,49030,22339
"142","FILM VIDEO AND PHOTOGRAPHIC ARTS","Arts",0.10577224,32000,16404,22357
"143","GENERAL SOCIAL SCIENCES","STEM",0.103454715,32000,7841,5079
"144","PLANT SCIENCE AND AGRONOMY","STEM",0.045454545,32000,2519,4897
"145","SCIENCE AND COMPUTER TEACHER EDUCATION","Education",0.047263682,32000,4434,2049
"146","PSYCHOLOGY","STEM",0.083810867,31500,307087,86648
"147","MUSIC","Arts",0.075959674,31000,30724,29909
"148","PHYSICAL AND HEALTH EDUCATION TEACHING","Education",0.074667496,31000,12543,15670
"149","ART HISTORY AND CRITICISM","Arts",0.060298284,31000,17790,3240
"150","FINE ARTS","Arts",0.084186296,30500,49654,24786
"151","FAMILY AND CONSUMER SCIENCES","Arts",0.067128194,30000,52835,5166
"152","SOCIAL WORK","STEM",0.06882792,30000,48415,5137
"153","ANIMAL SCIENCES","STEM",0.050862499,30000,16226,5347
"154","VISUAL AND PERFORMING ARTS","Arts",0.102197419,30000,12117,4133
"155","TEACHER EDUCATION: MULTIPLE LEVELS","Education",0.03654583,30000,11709,2734
"156","MISCELLANEOUS PSYCHOLOGY","STEM",0.05190783,30000,7692,1936
"157","HUMAN SERVICES AND COMMUNITY ORGANIZATION","STEM",0.037819026,30000,8489,885
"158","HUMANITIES","Arts",0.068584071,30000,4639,2013
"159","THEOLOGY AND RELIGIOUS VOCATIONS","Arts",0.062628297,29000,11591,18616
"160","STUDIO ARTS","Arts",0.089552239,29000,12223,4754
"161","COSMETOLOGY SERVICES AND CULINARY ARTS","Arts",0.055676856,29000,6146,4364
"162","MISCELLANEOUS AGRICULTURE","STEM",0.059766764,29000,1084,404
"163","ANTHROPOLOGY AND ARCHEOLOGY","Arts",0.102791571,28000,27468,11376
"164","COMMUNICATION DISORDERS SCIENCES AND SERVICES","STEM",0.047584,28000,37054,1225
"165","EARLY CHILDHOOD EDUCATION","Education",0.040104981,28000,36422,1167
"166","OTHER FOREIGN LANGUAGES","Arts",0.107115726,27500,7732,3472
"167","DRAMA AND THEATER ARTS","Arts",0.07754113,27000,28809,14440
"168","COMPOSITION AND RHETORIC","Arts",0.081742207,27000,11931,7022
"169","ZOOLOGY","STEM",0.04632028,26000,5359,3050
"170","EDUCATIONAL PSYCHOLOGY","STEM",0.065112187,25000,2332,522
"171","CLINICAL PSYCHOLOGY","STEM",0.149048198,25000,2270,568
"172","COUNSELING PSYCHOLOGY","STEM",0.053620646,23400,3695,931
"173","LIBRARY SCIENCE","Education",0.104945718,22000,964,134
